POS,Name,STU,MOV,CON,PBABIP,HRR,FB,CH,CB,SL,SI,SP,CT,FO,CC,SC,KC,KN,PIT,G/F,VELO,STM,HLD,G,GS,IP,R,HR/9,K%,BB%,ERA+,FIP-,rWAR
SP,Brayden Bergman,35,30,20,45,30,45,25,35,-,-,-,-,-,-,-,-,-,3,NEU,95-97,55,40,0,0,0.0,0,0.0,0.0,0.0,100,0,0.0
RP,Shai Bernes,35,25,25,35,20,35,-,-,35,-,-,-,-,-,-,-,-,2,NEU,88-90,30,75,0,0,0.0,0,0.0,0.0,0.0,100,0,0.0
SP,Juan Berrios,30,25,30,40,20,35,25,35,35,-,-,-,-,-,-,-,-,4,EX FB,88-90,40,60,0,0,0.0,0,0.0,0.0,0.0,100,0,0.0
RP,Juan Berson,25,35,25,40,35,-,-,-,25,25,-,-,-,-,-,-,-,2,GB,86-88,30,35,0,0,0.0,0,0.0,0.0,0.0,100,0,0.0
SP,Freddy Beruvides,35,30,25,45,25,40,30,35,35,-,-,-,-,-,-,-,-,4,FB,90-92,50,55,0,0,0.0,0,0.0,0.0,0.0,100,0,0.0
SP,Logan Bevis,30,30,30,45,25,40,20,-,30,-,-,-,-,-,-,-,-,3,FB,91-93,50,40,0,0,0.0,0,0.0,0.0,0.0,100,0,0.0
SP,Dante Biasi,40,45,25,55,45,45,45,45,-,-,-,-,-,-,-,-,-,3,EX FB,91-93,50,55,0,0,0.0,0,0.0,0.0,0.0,100,0,0.0
SP,Nicholas Biasi,30,30,30,50,20,35,35,35,-,-,-,-,-,-,-,-,-,3,FB,89-91,45,55,0,0,0.0,0,0.0,0.0,0.0,100,0,0.0
SP,McCall Biemiller,35,20,20,45,20,40,25,35,-,-,-,-,-,-,-,-,-,3,NEU,91-93,55,50,0,0,0.0,0,0.0,0.0,0.0,100,0,0.0
SP,Mason Bixby,35,35,25,50,30,50,25,-,-,-,-,35,-,-,-,-,-,3,NEU,96-98,55,35,0,0,0.0,0,0.0,0.0,0.0,100,0,0.0
SP,Ty Blach,30,45,70,40,50,40,35,25,30,-,-,-,-,-,-,-,-,4,FB,90-92,45,75,0,0,0.0,0,0.0,0.0,0.0,100,0,0.0
SP,Collins Black,20,20,25,50,20,25,20,20,-,-,-,-,-,-,-,-,-,3,EX FB,87-89,55,45,0,0,0.0,0,0.0,0.0,0.0,100,0,0.0
SP,Sean Black,20,30,30,45,30,35,20,-,-,-,-,20,-,-,-,-,-,3,NEU,91-93,75,65,0,0,0.0,0,0.0,0.0,0.0,100,0,0.0
SP,Erik Blair,25,20,20,45,20,30,25,30,-,-,-,-,-,-,-,-,-,3,FB,87-89,50,55,0,0,0.0,0,0.0,0.0,0.0,100,0,0.0
SP,Seth Blair,40,50,50,50,50,45,40,40,-,-,-,40,-,-,-,-,-,4,NEU,93-95,55,50,0,0,0.0,0,0.0,0.0,0.0,100,0,0.0
SP,Adrian Blanchet,35,35,30,45,30,40,30,35,-,-,-,-,-,-,-,-,-,3,FB,92-94,50,50,0,0,0.0,0,0.0,0.0,0.0,100,0,0.0
SP,J.D. Blank,30,30,20,40,25,-,30,30,-,-,-,30,-,-,-,-,-,3,NEU,89-91,65,80,0,0,0.0,0,0.0,0.0,0.0,100,0,0.0
RP,Randy Bledsoe,30,25,20,40,20,35,-,-,25,-,-,-,-,-,-,-,-,2,FB,89-91,35,70,0,0,0.0,0,0.0,0.0,0.0,100,0,0.0
SP,John Blumberg,20,40,30,45,35,25,-,20,-,20,25,-,-,-,-,-,-,4,NEU,86-88,40,40,0,0,0.0,0,0.0,0.0,0.0,100,0,0.0
SP,Pat Boggs,40,25,40,45,20,40,30,-,35,35,-,-,-,-,-,-,-,4,NEU,92-94,65,35,0,0,0.0,0,0.0,0.0,0.0,100,0,0.0
SP,Logan Bogue,25,20,20,50,20,35,20,-,35,-,-,-,-,-,-,-,-,3,FB,91-93,55,50,0,0,0.0,0,0.0,0.0,0.0,100,0,0.0
SP,Carson Bolemon,25,20,25,50,20,25,25,30,-,-,-,-,-,-,-,-,-,3,NEU,87-89,55,50,0,0,0.0,0,0.0,0.0,0.0,100,0,0.0
SP,Sesto Bonamoni,20,25,20,35,20,25,20,25,25,25,-,25,-,-,-,-,-,6,NEU,88-90,60,65,0,0,0.0,0,0.0,0.0,0.0,100,0,0.0
SP,Mike Bonds,35,35,25,50,30,40,20,-,-,-,-,35,-,-,-,-,-,3,NEU,90-92,65,55,0,0,0.0,0,0.0,0.0,0.0,100,0,0.0
SP,Braden Booth,35,20,25,45,20,40,25,35,40,-,-,-,-,-,-,-,-,4,NEU,91-93,45,50,0,0,0.0,0,0.0,0.0,0.0,100,0,0.0
RP,James Bourque,55,50,25,55,50,75,45,75,-,-,-,-,-,-,-,-,-,3,GB,96-98,30,50,0,0,0.0,0,0.0,0.0,0.0,100,0,0.0
SP,Ethan Bowen,20,20,20,55,20,25,20,-,20,-,-,-,-,-,-,-,-,3,FB,88-90,45,40,0,0,0.0,0,0.0,0.0,0.0,100,0,0.0
SP,Carter Boyd,30,20,25,50,20,40,20,30,-,-,-,-,-,-,-,-,-,3,FB,91-93,50,45,0,0,0.0,0,0.0,0.0,0.0,100,0,0.0
SP,Ty Brachbill,25,35,35,45,30,30,25,30,30,-,-,-,-,-,-,-,-,4,NEU,89-91,50,40,0,0,0.0,0,0.0,0.0,0.0,100,0,0.0
SP,Nick Bradley,30,30,20,50,25,40,25,-,35,-,-,-,-,-,-,-,-,3,FB,92-94,55,40,0,0,0.0,0,0.0,0.0,0.0,100,0,0.0
RP,Stevie Branche,45,50,30,50,50,55,40,-,50,-,-,-,-,-,-,-,-,3,EX FB,95-97,30,45,0,0,0.0,0,0.0,0.0,0.0,100,0,0.0
SP,Ruggiero Brandoni,30,20,25,35,20,30,25,25,30,30,-,-,-,-,-,-,-,5,FB,88-90,45,55,0,0,0.0,0,0.0,0.0,0.0,100,0,0.0
SP,Scott Brannon,30,30,30,45,25,35,25,35,-,-,-,-,-,-,-,-,-,3,FB,90-92,60,65,0,0,0.0,0,0.0,0.0,0.0,100,0,0.0
SP,Elliott Bray,25,25,20,50,20,35,25,25,-,-,-,-,-,-,-,-,-,3,NEU,91-93,50,45,0,0,0.0,0,0.0,0.0,0.0,100,0,0.0
SP,Pat Breland,20,30,20,45,30,25,20,-,-,-,20,-,-,-,-,-,-,3,NEU,88-90,55,35,0,0,0.0,0,0.0,0.0,0.0,100,0,0.0
RP,Bret Brenner,40,30,25,50,25,45,-,40,-,-,-,-,-,-,-,-,-,2,EX FB,91-93,25,25,0,0,0.0,0,0.0,0.0,0.0,100,0,0.0
RP,Jake Brentz,50,50,20,55,50,60,-,-,55,-,-,-,-,-,-,-,-,2,NEU,96-98,30,50,0,0,0.0,0,0.0,0.0,0.0,100,0,0.0
RP,Jaison Brete,30,45,30,55,40,30,-,-,30,-,-,-,-,-,-,-,-,2,FB,88-90,40,55,0,0,0.0,0,0.0,0.0,0.0,100,0,0.0
RP,Albert Breton,30,40,25,50,40,35,-,25,-,-,-,-,-,-,-,-,-,2,NEU,89-91,40,50,0,0,0.0,0,0.0,0.0,0.0,100,0,0.0
RP,Michael Brettell,30,45,45,55,45,-,-,-,40,35,-,-,-,-,-,-,-,2,GB,93-95,40,50,0,0,0.0,0,0.0,0.0,0.0,100,0,0.0
RP,Austin Brice,45,45,30,55,45,50,40,45,-,-,-,-,-,-,-,-,-,3,FB,94-96,30,55,0,0,0.0,0,0.0,0.0,0.0,100,0,0.0
SP,Bowen Bridges,20,20,20,50,20,25,25,20,-,-,-,-,-,-,-,-,-,3,EX FB,87-89,50,40,0,0,0.0,0,0.0,0.0,0.0,100,0,0.0
SP,Jake Brink,30,20,20,50,20,30,25,30,30,-,-,-,-,-,-,-,-,4,FB,88-90,50,45,0,0,0.0,0,0.0,0.0,0.0,100,0,0.0
SP,Tristan Bristow,30,30,25,50,25,35,25,30,-,-,-,-,-,-,-,-,-,3,NEU,90-92,60,45,0,0,0.0,0,0.0,0.0,0.0,100,0,0.0
RP,Carlos Brito,35,30,20,50,20,40,-,-,35,-,-,-,-,-,-,-,-,2,NEU,91-93,30,50,0,0,0.0,0,0.0,0.0,0.0,100,0,0.0
RP,Dari Brito,20,25,20,50,20,30,20,-,25,-,-,-,-,-,-,-,-,3,FB,90-92,30,50,0,0,0.0,0,0.0,0.0,0.0,100,0,0.0
RP,Lisander Brito,30,45,20,55,40,30,-,-,30,-,-,-,-,-,-,-,-,2,FB,88-90,40,50,0,0,0.0,0,0.0,0.0,0.0,100,0,0.0
SP,Nate Brittain,30,35,25,50,35,45,20,20,30,-,-,-,-,-,-,-,-,4,FB,94-96,45,30,0,0,0.0,0,0.0,0.0,0.0,100,0,0.0
SP,Luka Brocilo,25,20,20,40,20,25,25,30,-,-,-,-,-,-,-,-,-,3,EX FB,86-88,50,45,0,0,0.0,0,0.0,0.0,0.0,100,0,0.0
SP,Aaron Brooks,30,50,55,50,45,40,30,25,35,35,-,-,-,-,-,-,-,5,NEU,92-94,50,50,0,0,0.0,0,0.0,0.0,0.0,100,0,0.0
RP,Aaron Brown,45,50,25,50,50,-,45,-,45,45,-,-,-,-,-,-,-,3,GB,92-94,30,60,0,0,0.0,0,0.0,0.0,0.0,100,0,0.0
RP,Amari Brown,20,20,25,40,20,-,20,-,-,-,-,25,-,-,-,-,-,2,NEU,90-92,45,50,0,0,0.0,0,0.0,0.0,0.0,100,0,0.0
SP,Blaine Brown,35,30,30,55,25,35,25,-,30,35,-,-,-,-,-,-,-,4,FB,90-92,40,60,0,0,0.0,0,0.0,0.0,0.0,100,0,0.0
SP,Ethan Brown,30,20,25,35,20,30,25,35,-,-,-,-,-,-,-,-,-,3,EX FB,86-88,50,50,0,0,0.0,0,0.0,0.0,0.0,100,0,0.0
RP,Luke Brown,35,35,30,40,30,40,-,35,-,-,-,-,-,-,-,-,-,2,NEU,91-93,35,50,0,0,0.0,0,0.0,0.0,0.0,100,0,0.0
SP,Matthew Brown,30,30,30,50,20,40,25,-,40,-,-,-,-,-,-,-,-,3,NEU,92-94,45,45,0,0,0.0,0,0.0,0.0,0.0,100,0,0.0
RP,Zack Brown,40,45,40,50,45,45,30,40,-,-,-,-,-,-,-,-,-,3,EX GB,93-95,55,50,0,0,0.0,0,0.0,0.0,0.0,100,0,0.0
RP,JT Brubaker,45,45,50,55,40,50,40,45,50,-,-,-,-,-,-,-,-,4,FB,93-95,45,50,0,0,0.0,0,0.0,0.0,0.0,100,0,0.0
CL,Bob Bruce,40,35,40,50,35,45,-,-,40,-,-,-,-,-,-,-,-,2,NEU,95-97,40,50,0,0,0.0,0,0.0,0.0,0.0,100,0,0.0
SP,Henry Brummel,35,20,25,45,20,35,25,35,35,-,-,20,-,-,-,-,-,5,FB,90-92,50,50,0,0,0.0,0,0.0,0.0,0.0,100,0,0.0
SP,William Bryant,30,25,25,50,20,35,25,30,25,-,-,-,-,-,-,-,-,4,FB,89-91,55,45,0,0,0.0,0,0.0,0.0,0.0,100,0,0.0
SP,Micah Bucknam,30,20,20,50,20,40,20,25,35,-,-,-,-,-,-,-,-,4,FB,92-94,50,45,0,0,0.0,0,0.0,0.0,0.0,100,0,0.0
SP,David Bueno,20,20,20,35,20,25,20,-,-,-,20,-,-,-,-,-,-,3,EX FB,88-90,50,50,0,0,0.0,0,0.0,0.0,0.0,100,0,0.0
RP,Hever Bueno,45,50,20,55,50,-,-,-,50,50,-,-,-,-,-,-,-,2,GB,97-99,30,55,0,0,0.0,0,0.0,0.0,0.0,100,0,0.0
SP,Reece Bueno,35,35,35,45,30,35,35,-,35,-,-,-,-,-,-,-,-,3,FB,89-91,50,45,0,0,0.0,0,0.0,0.0,0.0,100,0,0.0
SP,Madison Bumgarner,35,45,55,55,45,40,35,30,-,-,-,35,-,-,-,-,-,4,FB,91-93,60,55,0,0,0.0,0,0.0,0.0,0.0,100,0,0.0
SP,Dylan Bundy,35,50,65,55,50,40,-,40,40,-,40,-,-,-,-,-,-,4,FB,89-91,55,60,0,0,0.0,0,0.0,0.0,0.0,100,0,0.0
SP,Parker Burgess,30,30,30,45,25,35,30,-,35,-,-,-,-,-,-,-,-,3,FB,90-92,50,60,0,0,0.0,0,0.0,0.0,0.0,100,0,0.0
SP,Sam Burgess,30,20,20,45,20,35,20,-,35,-,-,-,-,-,-,-,-,3,FB,90-92,55,60,0,0,0.0,0,0.0,0.0,0.0,100,0,0.0
RP,Yoelvis Burguillos,20,45,25,55,45,30,-,20,-,-,-,-,-,-,-,-,-,2,NEU,90-92,40,50,0,0,0.0,0,0.0,0.0,0.0,100,0,0.0
RP,Yizreel Burnet,35,30,20,50,20,40,-,35,-,-,-,-,-,-,-,-,-,2,NEU,87-89,35,50,0,0,0.0,0,0.0,0.0,0.0,100,0,0.0
SP,Dane Burns,35,30,25,45,25,40,25,-,35,-,-,-,-,-,-,-,-,3,NEU,91-93,35,55,0,0,0.0,0,0.0,0.0,0.0,100,0,0.0
SP,Jackson Burns,25,20,20,45,20,40,-,25,30,-,-,-,-,-,-,-,-,3,FB,92-94,45,45,0,0,0.0,0,0.0,0.0,0.0,100,0,0.0
SP,Thomas Burns,30,35,30,45,30,35,20,35,35,-,-,-,-,-,-,-,-,4,FB,91-93,55,45,0,0,0.0,0,0.0,0.0,0.0,100,0,0.0
SP,Zane Burns,20,20,20,55,20,25,20,-,25,-,-,-,-,-,-,-,-,3,FB,87-89,40,45,0,0,0.0,0,0.0,0.0,0.0,100,0,0.0
RP,Ryan Burr,55,45,50,50,45,55,-,-,75,-,40,-,-,-,-,-,-,3,EX FB,95-97,30,45,0,0,0.0,0,0.0,0.0,0.0,100,0,0.0
SP,Jack Bussard,30,30,40,40,25,35,25,-,30,-,-,-,-,-,-,-,-,3,FB,89-91,50,50,0,0,0.0,0,0.0,0.0,0.0,100,0,0.0
SP,Alex Bustamante,20,25,30,40,20,30,20,-,-,20,-,-,-,-,-,-,-,3,NEU,90-92,50,40,0,0,0.0,0,0.0,0.0,0.0,100,0,0.0
RP,Josh Butler,20,30,20,45,25,30,-,-,25,-,-,-,-,-,-,-,-,2,FB,90-92,40,30,0,0,0.0,0,0.0,0.0,0.0,100,0,0.0
SP,Josh Butler,35,40,30,45,40,40,40,-,40,-,-,-,-,-,-,-,-,3,NEU,90-92,50,55,0,0,0.0,0,0.0,0.0,0.0,100,0,0.0
RP,Michael Byrne,45,45,45,50,40,-,35,35,45,45,-,45,-,-,-,-,-,5,NEU,93-95,35,50,0,0,0.0,0,0.0,0.0,0.0,100,0,0.0
RP,Darwin Caballero,25,35,20,50,25,30,-,-,25,-,-,-,-,-,-,-,-,2,FB,89-91,40,60,0,0,0.0,0,0.0,0.0,0.0,100,0,0.0
RP,Anel Cabrera,20,45,20,50,45,30,25,25,-,-,-,-,-,-,-,-,-,3,FB,89-91,40,55,0,0,0.0,0,0.0,0.0,0.0,100,0,0.0
RP,Geraldo Cabrera,30,20,20,50,20,35,25,-,25,-,-,-,-,-,-,-,-,3,NEU,90-92,35,50,0,0,0.0,0,0.0,0.0,0.0,100,0,0.0
RP,Justin Caceres,25,35,20,55,30,25,30,30,-,-,-,-,-,-,-,-,-,3,FB,86-88,30,40,0,0,0.0,0,0.0,0.0,0.0,100,0,0.0
RP,Manuel Cachutt,35,50,45,50,50,45,30,35,-,-,-,-,-,-,-,-,-,3,FB,93-95,30,40,0,0,0.0,0,0.0,0.0,0.0,100,0,0.0
RP,Yojanser Caldera,20,20,20,50,20,25,-,20,-,-,-,-,-,-,-,-,-,2,NEU,88-90,40,55,0,0,0.0,0,0.0,0.0,0.0,100,0,0.0
SP,Rob Calderon,30,30,20,40,20,40,20,-,-,-,25,-,-,-,-,-,-,3,NEU,91-93,70,45,0,0,0.0,0,0.0,0.0,0.0,100,0,0.0
RP,William Calderon,20,20,25,50,20,25,-,20,-,-,-,-,-,-,-,-,-,2,FB,88-90,35,50,0,0,0.0,0,0.0,0.0,0.0,100,0,0.0
SP,Brex Caldwell,20,20,20,50,20,25,20,20,-,-,-,-,-,-,-,-,-,3,FB,86-88,55,40,0,0,0.0,0,0.0,0.0,0.0,100,0,0.0
SP,Jordan Camacho,20,40,20,50,35,-,20,25,25,25,-,25,-,-,-,-,-,5,GB,87-89,70,40,0,0,0.0,0,0.0,0.0,0.0,100,0,0.0
SP,Justin Camp,30,20,30,45,20,25,20,25,-,-,-,30,-,-,-,-,-,4,NEU,86-88,60,55,0,0,0.0,0,0.0,0.0,0.0,100,0,0.0
RP,Eric Campbell,30,35,20,40,35,35,-,-,-,-,-,-,-,30,-,-,-,2,NEU,89-91,30,40,0,0,0.0,0,0.0,0.0,0.0,100,0,0.0
CL,Scott Campbell,40,30,25,45,25,45,-,-,40,-,-,35,-,-,-,-,-,3,NEU,95-97,35,25,0,0,0.0,0,0.0,0.0,0.0,100,0,0.0
SP,Jose Campos,30,25,20,40,20,30,20,30,-,-,-,25,-,-,-,-,-,4,FB,87-89,55,50,0,0,0.0,0,0.0,0.0,0.0,100,0,0.0
RP,Willian Campos,20,45,20,55,40,30,-,25,-,-,-,-,-,-,-,-,-,2,NEU,88-90,35,50,0,0,0.0,0,0.0,0.0,0.0,100,0,0.0
SP,Jerry Canales,30,30,20,40,25,30,20,-,-,-,-,30,-,-,-,-,-,3,NEU,89-91,55,50,0,0,0.0,0,0.0,0.0,0.0,100,0,0.0
RP,A.J. Candelario,40,45,35,50,45,45,-,40,-,-,-,-,-,-,-,-,-,2,NEU,95-97,35,45,0,0,0.0,0,0.0,0.0,0.0,100,0,0.0
RP,Elmson Candelario,20,50,25,55,45,25,-,-,20,-,-,-,-,-,-,-,-,2,FB,87-89,40,50,0,0,0.0,0,0.0,0.0,0.0,100,0,0.0
SP,Austin Cantrell,20,25,20,50,20,25,25,20,25,-,-,-,-,-,-,-,-,4,EX FB,87-89,50,55,0,0,0.0,0,0.0,0.0,0.0,100,0,0.0
SP,Manel Capito,30,25,20,40,20,30,30,-,30,-,-,25,-,-,-,-,-,4,FB,88-90,45,50,0,0,0.0,0,0.0,0.0,0.0,100,0,0.0
SP,Francesco Capocci,35,25,30,45,20,40,25,35,-,-,-,-,-,-,-,-,-,3,NEU,92-94,40,40,0,0,0.0,0,0.0,0.0,0.0,100,0,0.0
SP,Trent Caram,25,30,20,55,20,-,20,-,30,25,-,-,-,-,-,-,-,3,NEU,87-89,55,45,0,0,0.0,0,0.0,0.0,0.0,100,0,0.0
RP,Paul Carbajal,40,30,20,40,25,45,-,-,50,-,-,-,-,-,-,-,-,2,FB,95-97,30,55,0,0,0.0,0,0.0,0.0,0.0,100,0,0.0
SP,Cole Carlon,35,35,30,50,35,45,30,35,-,-,-,-,-,-,-,-,-,3,NEU,93-95,40,55,0,0,0.0,0,0.0,0.0,0.0,100,0,0.0
RP,Josue Carmona,25,45,20,55,45,30,25,25,-,-,-,-,-,-,-,-,-,3,FB,89-91,35,55,0,0,0.0,0,0.0,0.0,0.0,100,0,0.0
CL,Chris Carpenter,20,25,20,45,20,-,-,25,-,-,-,25,-,-,-,-,-,2,NEU,95-97,30,55,0,0,0.0,0,0.0,0.0,0.0,100,0,0.0
SP,Kaden Carpenter,30,20,25,50,20,30,30,40,-,-,-,-,-,-,-,-,-,3,EX FB,87-89,55,55,0,0,0.0,0,0.0,0.0,0.0,100,0,0.0
SP,Ryan Carpenter,30,45,45,50,45,35,30,30,35,-,-,-,-,-,-,-,-,4,FB,91-93,40,55,0,0,0.0,0,0.0,0.0,0.0,100,0,0.0
SP,Jordan Carr,35,45,55,50,45,-,40,-,40,35,-,40,-,-,-,-,-,4,NEU,88-90,50,55,0,0,0.0,0,0.0,0.0,0.0,100,0,0.0
SP,Pat Carroll,20,35,25,40,35,30,25,20,-,25,20,-,-,-,-,-,-,5,NEU,89-91,50,60,0,0,0.0,0,0.0,0.0,0.0,100,0,0.0
RP,Carson Carter,30,50,35,55,50,40,25,30,-,-,-,-,-,-,-,-,-,3,FB,92-94,35,40,0,0,0.0,0,0.0,0.0,0.0,100,0,0.0
RP,JT Caruso,30,25,35,40,20,35,30,35,-,-,-,-,-,-,-,-,-,3,FB,88-90,35,50,0,0,0.0,0,0.0,0.0,0.0,100,0,0.0
RP,Rolando Casihis,30,45,25,55,45,35,35,-,25,-,-,-,-,-,-,-,-,3,FB,89-91,35,55,0,0,0.0,0,0.0,0.0,0.0,100,0,0.0
RP,Ben Casparius,55,45,45,55,40,70,45,45,65,-,-,50,-,-,-,-,-,5,EX FB,95-97,45,45,0,0,0.0,0,0.0,0.0,0.0,100,0,0.0
SP,Rafael Castaneda,30,20,20,50,20,30,30,40,-,-,-,-,-,-,-,-,-,3,EX FB,85-87,40,50,0,0,0.0,0,0.0,0.0,0.0,100,0,0.0
SP,Daniel Castano,35,45,50,50,45,35,40,-,40,-,-,35,-,-,-,-,-,4,NEU,88-90,50,60,0,0,0.0,0,0.0,0.0,0.0,100,0,0.0
SP,Arturo Castellanos,35,20,30,45,20,45,20,30,-,35,-,-,-,-,-,-,-,4,FB,93-95,50,65,0,0,0.0,0,0.0,0.0,0.0,100,0,0.0
RP,Jesus Castellanos,35,25,25,50,20,40,25,-,35,-,-,-,-,-,-,-,-,3,NEU,90-92,30,50,0,0,0.0,0,0.0,0.0,0.0,100,0,0.0
RP,Jonaiker Castellar,20,45,25,55,45,30,25,-,25,-,-,-,-,-,-,-,-,3,NEU,89-91,30,50,0,0,0.0,0,0.0,0.0,0.0,100,0,0.0
SP,Andrew Castelluccio,20,20,20,50,20,25,25,-,20,-,-,-,-,-,-,-,-,3,EX FB,86-88,55,40,0,0,0.0,0,0.0,0.0,0.0,100,0,0.0
RP,Emilio Castillo,20,45,20,60,45,30,-,25,-,-,-,-,-,-,-,-,-,2,NEU,88-90,35,45,0,0,0.0,0,0.0,0.0,0.0,100,0,0.0
SP,Mario Castillo,20,20,20,40,20,25,20,-,-,-,20,-,-,-,-,-,-,3,EX FB,87-89,50,50,0,0,0.0,0,0.0,0.0,0.0,100,0,0.0
SP,Tommy Castillo,30,20,20,40,20,30,20,-,-,-,30,-,-,-,-,-,-,3,NEU,88-90,70,45,0,0,0.0,0,0.0,0.0,0.0,100,0,0.0
RP,Wagner Castillo,20,45,25,55,45,25,25,20,-,-,-,-,-,-,-,-,-,3,NEU,89-91,30,45,0,0,0.0,0,0.0,0.0,0.0,100,0,0.0
RP,Alexandro Castro,20,20,25,50,20,30,20,-,25,-,-,-,-,-,-,-,-,3,NEU,89-91,35,50,0,0,0.0,0,0.0,0.0,0.0,100,0,0.0
RP,Cesar Castro,20,20,20,20,20,25,20,20,-,-,-,-,-,-,-,-,-,3,FB,87-89,30,35,0,0,0.0,0,0.0,0.0,0.0,100,0,0.0
RP,Edgar Castro,20,45,20,55,45,30,-,20,-,-,-,-,-,-,-,-,-,2,NEU,89-91,45,50,0,0,0.0,0,0.0,0.0,0.0,100,0,0.0
RP,Fran Castro,20,45,20,55,40,25,-,25,-,-,-,-,-,-,-,-,-,2,NEU,88-90,35,50,0,0,0.0,0,0.0,0.0,0.0,100,0,0.0
RP,Jeremy Castro,40,40,20,55,35,40,30,-,35,-,-,-,-,-,-,-,-,3,NEU,90-92,35,50,0,0,0.0,0,0.0,0.0,0.0,100,0,0.0
RP,Jeremy Castro,30,20,20,50,20,25,-,30,30,-,-,-,-,-,-,-,-,3,FB,86-88,30,45,0,0,0.0,0,0.0,0.0,0.0,100,0,0.0
SP,Michael Catalano,35,25,25,50,20,35,30,35,35,-,-,-,-,-,-,-,-,4,NEU,90-92,55,45,0,0,0.0,0,0.0,0.0,0.0,100,0,0.0
RP,Jarrod Caughey,25,40,20,40,40,40,25,-,-,-,-,-,-,-,-,-,-,2,NEU,94-96,25,55,0,0,0.0,0,0.0,0.0,0.0,100,0,0.0
RP,Luis Ceballos,30,20,20,55,20,30,25,25,-,-,-,-,-,-,-,-,-,3,NEU,88-90,30,50,0,0,0.0,0,0.0,0.0,0.0,100,0,0.0
RP,Charlie Cerny,30,50,20,55,50,-,30,-,35,35,-,-,-,-,-,-,-,3,EX GB,91-93,30,50,0,0,0.0,0,0.0,0.0,0.0,100,0,0.0
RP,Alejandro Cervantes,20,45,20,55,45,30,-,-,25,-,-,-,-,-,-,-,-,2,FB,89-91,40,55,0,0,0.0,0,0.0,0.0,0.0,100,0,0.0
RP,Dakota Chalmers,50,40,20,55,35,55,50,-,50,-,-,-,-,-,-,-,-,3,FB,93-95,35,45,0,0,0.0,0,0.0,0.0,0.0,100,0,0.0
SP,Jon Chamberlain,20,30,30,45,25,35,25,-,35,25,-,-,-,-,-,-,-,4,NEU,92-94,75,65,0,0,0.0,0,0.0,0.0,0.0,100,0,0.0
SP,Matthew Champion,20,30,25,55,25,35,20,25,-,-,-,-,-,-,-,-,-,4,NEU,92-94,60,45,0,0,0.0,0,0.0,0.0,0.0,100,0,0.0
RP,Sandi Charle,20,40,20,50,35,30,25,-,25,-,-,-,-,-,-,-,-,3,FB,91-93,30,45,0,0,0.0,0,0.0,0.0,0.0,100,0,0.0
RP,Jendry Charles,30,25,25,50,20,30,25,30,-,-,-,-,-,-,-,-,-,3,NEU,88-90,35,50,0,0,0.0,0,0.0,0.0,0.0,100,0,0.0
SP,Christian Chatterton,20,35,35,55,25,30,20,20,25,-,-,-,-,-,-,-,-,4,NEU,91-93,55,40,0,0,0.0,0,0.0,0.0,0.0,100,0,0.0
SP,Jesus Chavez,20,20,20,35,20,25,20,-,-,-,20,-,-,-,-,-,-,3,NEU,85-87,65,60,0,0,0.0,0,0.0,0.0,0.0,100,0,0.0
RP,Jose Chavez,35,45,20,55,45,35,-,30,-,-,-,-,-,-,-,-,-,2,NEU,89-91,30,50,0,0,0.0,0,0.0,0.0,0.0,100,0,0.0
RP,Jose Chavez,20,45,20,55,45,30,-,20,-,-,-,-,-,-,-,-,-,2,FB,89-91,35,50,0,0,0.0,0,0.0,0.0,0.0,100,0,0.0
SP,Ryker Chavis,20,20,20,40,20,25,25,20,-,-,-,-,-,-,-,-,-,3,FB,88-90,50,50,0,0,0.0,0,0.0,0.0,0.0,100,0,0.0
SP,Brian Chick,30,20,20,40,20,35,20,-,-,-,25,-,-,-,-,-,-,3,NEU,89-91,85,60,0,0,0.0,0,0.0,0.0,0.0,100,0,0.0
RP,Edwar Chirinos,20,50,20,55,45,30,25,-,20,-,-,-,-,-,-,-,-,3,NEU,89-91,30,55,0,0,0.0,0,0.0,0.0,0.0,100,0,0.0
RP,Junior Chirinos,25,20,35,55,20,25,20,25,-,-,-,-,-,-,-,-,-,3,FB,87-89,30,55,0,0,0.0,0,0.0,0.0,0.0,100,0,0.0
SP,Victor Christal,25,30,20,45,20,40,20,25,30,-,-,-,-,-,-,-,-,4,NEU,92-94,45,50,0,0,0.0,0,0.0,0.0,0.0,100,0,0.0
SP,Peter Chronowski,30,20,25,40,20,30,35,45,-,-,-,-,-,-,-,-,-,3,EX FB,85-87,45,55,0,0,0.0,0,0.0,0.0,0.0,100,0,0.0
RP,Gilberto Chu,35,50,35,55,45,40,35,35,-,-,-,-,-,-,-,-,-,3,EX FB,91-93,40,60,0,0,0.0,0,0.0,0.0,0.0,100,0,0.0
RP,Angel Cifuentes,20,30,25,35,30,30,-,-,25,-,-,-,-,-,-,-,-,2,NEU,90-92,25,75,0,0,0.0,0,0.0,0.0,0.0,100,0,0.0
SP,Carlos Cifuentes,20,30,25,45,30,25,25,25,-,20,25,-,-,-,-,25,-,6,NEU,87-89,45,30,0,0,0.0,0,0.0,0.0,0.0,100,0,0.0
SP,Robert Cirrone,20,30,20,40,25,-,20,20,25,-,-,25,-,-,-,-,-,4,NEU,90-92,50,60,0,0,0.0,0,0.0,0.0,0.0,100,0,0.0
